ID,Current PoC Component,Target Repository,Refactoring Task,Description,Priority,Must/Would,Owner,
ENG-01,Reauthor + Validation repo,ctb-reauthor-workflow / ctb-validation-workflow,Split workflows into separate services,Separate reauthor and validation agents into independent repos to avoid monolithic agent codebase,P0,Must,AI Engineering,
ENG-02,Reauthor pipeline triggered manually,ctb-orchestration-langgraph,Introduce LangGraph orchestration,Move agent execution into LangGraph workflows triggered by platform events,P0,Must,AI Engineering,
ENG-03,Manual document input for reauthor,ctb-ingestion-pipelines,Implement ingestion service,Create preprocessing and chunking services for structured document ingestion,P0,Must,Data Engineering,
ENG-04,Manual execution pipelines,ctb-orchestration-langgraph,Implement event-driven workflow,Trigger workflows using Pub/Sub events instead of manual execution,P0,Must,Platform,
ENG-05,Output stored in local directories,ctb-mcp-gateway,Implement governed storage access,Replace local filesystem outputs with GCS + BigQuery access through MCP tools,P0,Must,Platform,
ENG-06,UI reads local output files,ctb-workbench-ui,Integrate backend service APIs,Modify UI backend to retrieve outputs from platform storage instead of file system,P1,Must,Application,
ENG-07,UI manual upload,ctb-ingestion-pipelines,Integrate UI ingestion API,File uploads from UI trigger ingestion pipeline,P1,Must,Application,
ENG-08,KG repo using manual input,ctb-knowledge-graph,Integrate KG build workflow,KG build triggered from approved documents through LangGraph orchestration,P0,Must,Knowledge Engineering,
ENG-09,Neo4j community instance,ctb-knowledge-graph,Migrate to Neo4j enterprise,Replace PoC graph database with enterprise cluster,P0,Must,Platform,
ENG-10,FAISS vector index,ctb-vector-embedding,Implement enterprise vector store,Replace FAISS with pgvector or Vertex AI vector search,P0,Must,AI Platform,
ENG-11,KG + embedding combined repo,ctb-knowledge-graph / ctb-vector-embedding,Separate vector service,Split embedding pipeline into dedicated repo for scalability,P1,Must,AI Engineering,
ENG-12,API integration repo,ctb-mcp-gateway,Implement MCP gateway,Convert API integration layer into MCP server for governed access,P0,Must,Platform,
ENG-13,Session state service repo,ctb-orchestration-langgraph,Integrate workflow state management,Replace session service with LangGraph state management and run context,P1,Must,AI Engineering,
